LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-71.3278316,42.9554061,0346,PINGREE HILL ROAD,,AUBURN,,NH,03032,000002000008000004,3b94ebd61867f887
-71.3113275,42.9372511,,PINGREE HILL ROAD,,HARTFORD,,CT,06141,000002000047000UTL,a4c32527d99bdfd0
-71.3111088,42.9363881,,PINGREE HILL ROAD,,AUBURN,,NH,03032,000002000048000000,b6657c5b8ccee64e
-71.3113813,42.938468,0662,PINGREE HILL ROAD,,AUBURN,,NH,03032,000002000044000005,5922af178ceda029
-71.3120673,42.9391304,0650,PINGREE HILL ROAD,,AUBURN,,NH,03032,000002000044000004,c0b5a3689206b746
-71.31258,42.9396782,0640,PINGREE HILL ROAD,,AUBURN,,NH,03032,000002000044000003,190e66ee51e3ac37
-71.3131574,42.9402187,0628,PINGREE HILL ROAD,,AUBURN,,NH,03032,000002000044000002,e975bb75e1fe088c
-71.3135482,42.9406648,0620,PINGREE HILL ROAD,,AUBURN,,NH,03032,000002000044000001,a9cda60281c61d4e
-71.3261798,42.9408415,,PINGREE HILL ROAD,,AUBURN,,NH,03032,000002000040000000,08c13c7ab38dfb4c
-71.3262267,42.9561348,0349,PINGREE HILL ROAD,,AUBURN,,NH,03032,000002000017000000,203ab70961032daa
-71.324361,42.9581679,0283,PINGREE HILL ROAD,,AUBURN,,NH,03032,000002000015000000,224be1ea1c6574cf
-71.3168503,42.9570252,,SILVER HILL ROAD,,DEERFIELD,,NH,03037,000002000022000000,0a38ae9f181ca778
-71.3168253,42.9547088,,SILVER HILL ROAD,,DEERFIELD,,NH,03037,000002000020000000,da1fc3a593650d25
-71.3174906,42.9534736,,SILVER HILL ROAD,,MARLBORO,,MA,01752,000002000021000000,270eefbe2e864b93
-71.3138739,42.9532559,,SILVER HILL ROAD,,SUNCOOK,,NH,03275,000002000025000000,884fb8f61b649385
-71.3085536,42.9528572,0112,SILVER HILL ROAD,,EAST HAMPSTEAD,,NH,03826,000002000024000000,ff7c91dfa3d7bc18
-71.3110434,42.9581367,,SILVER HILL ROAD,,CHICHESTER,,NH,03258,000002000023000000,94bb284304b8e113
-71.3162633,42.960287,,SILVER HILL ROAD,,MARLBORO,,MA,01752,000005000039000000,f3812682b10ca1b6
-71.3283219,42.9560991,0340,PINGREE HILL ROAD,,AUBURN,,NH,03032,000002000008000007,3cdcdd8ee755cf7a
